id,price
1,15500.0
2,2800.0
3,16700.0
4,11000.0
5,6800.0
6,8000.0
7,2181.54
8,10120.0
9,13400.0
10,4300.0
11,1500.0
12,331.97
13,6000.0
14,10500.0
15,3500.0
16,750.0
17,7700.0
18,16490.0
19,507.07
20,4300.0
21,6300.0
22,2000.0
23,16900.0
24,282.73
25,15000.0
26,10884.0
27,850.0
28,2650.0
29,850.0
30,1500.0
31,10800.0
32,500.0
33,12900.0
34,2500.0
35,5300.0
36,5000.0
37,10000.0
38,990.0
39,4400.0
40,3300.0
41,1600.0
42,2600.0
43,3500.0
44,18100.0
45,3800.0
46,4700.0
47,1500.0
48,3500.0
49,11999.0
50,12000.0
51,8000.0
52,1600.0
53,2700.0
54,6500.0
55,8300.0
56,6300.0
57,1600.0
58,1990.0
59,750.0
60,3500.0
61,2500.0
62,6500.0
63,6500.0
64,17333.77
65,7500.0
66,6164.75
67,2100.0
68,1999.0
69,5500.0
70,6800.0
71,30000.0
72,10950.0
73,12300.0
74,2600.0
75,284.55
76,15700.0
77,1250.0
78,2250.0
79,1896.99
80,37500.0
81,13750.0
82,1950.0
83,11700.0
84,27800.0
85,4900.0
86,4600.0
87,44328.46
88,2950.0
89,1300.0
90,2300.0
91,2600.0
92,4300.0
93,19500.0
94,7500.0
95,5000.0
96,14500.0
97,13000.0
98,13800.0
99,500.0
100,400.0
101,2600.0
102,7300.0
103,12000.0
104,6200.0
105,13500.0
106,1250.0
107,1300.0
108,13150.0
109,15900.0
110,4500.0
111,2300.0
112,10700.0
113,4900.0
114,4031.11
115,7800.0
116,11500.0
117,5500.0
118,7000.0
119,10500.0
120,1500.0
121,12950.0
122,31000.0
123,1250.0
124,13350.0
125,6300.0
126,1043.34
127,8200.0
128,5999.0
129,3400.0
130,2950.0
131,1300.0
132,6400.0
133,42000.0
134,4500.0
135,2700.0
136,21000.0
137,15500.0
138,950.0
139,4000.0
140,800.0
141,1700.0
142,10600.0
143,261.22
144,2100.0
145,6999.0
146,4200.0
147,2580.0
148,14600.0
149,2500.0
150,2134.12
151,9500.0
152,3800.0
153,6000.0
154,4450.0
155,6599.0
156,2371.23
157,11000.0
158,1000.0
159,8000.0
160,8500.0
161,2900.0
162,1400.0
163,6500.0
164,1999.0
165,3650.0
166,27300.0
167,8500.0
168,8800.0
169,6200.0
170,1000.0
171,6800.0
172,1570.0
173,1200.0
174,8300.0
175,16800.0
176,7800.0
177,7000.0
178,9000.0
179,5999.0
180,5200.0
181,6500.0
182,16800.0
183,5500.0
184,7400.0
185,2500.0
186,3850.0
187,19500.0
188,6900.0
189,12800.0
190,11700.0
191,8400.0
192,6700.0
193,10000.0
194,14200.0
195,2400.0
196,4500.0
197,5500.0
198,5200.0
199,9500.0
200,1150.0
201,9750.0
202,7500.0
203,6450.0
204,10500.0
205,3400.0
206,15400.0
207,10550.0
208,5500.0
209,10000.0
210,1450.0
211,5250.0
212,2990.0
213,400.0
214,5200.0
215,14799.0
216,6900.0
217,13150.0
218,5200.0
219,12500.0
220,6550.0
221,7700.0
222,6350.0
223,14500.0
224,10300.0
225,3600.0
226,11360.62
227,1600.0
228,2900.0
229,1500.0
230,3600.0
231,15300.0
232,3400.0
233,4100.0
234,3100.0
235,3300.0
236,2100.0
237,8900.0
238,2600.0
239,3000.0
240,15600.0
241,3000.0
242,3000.0
243,2700.0
244,4200.0
245,3082.61
246,1800.0
247,22850.0
248,3500.0
249,18000.0
250,13100.0
251,11500.0
252,2400.0
253,8000.0
254,7500.0
255,2700.0
256,3200.0
257,1200.0
258,1600.0
259,4300.0
260,17554.38
261,4499.0
262,24400.0
263,7000.0
264,21000.0
265,1400.0
266,6800.0
267,600.0
268,3499.0
269,3600.0
270,7000.0
271,12600.0
272,569.09
273,5550.0
274,16250.0
275,5500.0
276,1150.0
277,5690.98
278,5700.0
279,8950.0
280,1700.0
281,9999.0
282,1382.91
283,9100.0
284,1100.0
285,3000.0
286,1500.0
287,2100.0
288,2500.0
289,2400.0
290,2999.0
291,7000.0
292,3000.0
293,6200.0
294,2300.0
295,1200.0
296,9200.0
297,1600.0
298,3999.0
299,1950.0
300,6900.0
301,5200.0
302,14900.0
303,700.0
304,1900.0
305,8400.0
306,6500.0
307,3500.0
308,5400.0
309,650.0
310,6800.0
9999,2000.0
10000,1150.0
10001,700.0
10002,3000.0
10003,13950.0
10004,1000.0
10005,1000.0
10006,14000.0
10007,8000.0
10008,3074.6
10009,2133.26
10010,3300.0
10011,5000.0
10012,12000.0
10013,3500.0
10014,5390.0
10015,2200.0
10016,8000.0
10017,3200.0
10018,3750.0
10019,7600.0
10020,10450.0
10021,6900.0
10022,7800.0
10023,576.21
10024,4700.0
10025,4031.11
10026,1090.77
10027,12500.0
10028,1000.0
10029,24950.0
10030,11000.0
10031,7800.0
10032,10500.0
10033,18495.68
10034,5500.0
10035,6499.0
10036,3200.0
10037,15500.0
10038,4800.0
10039,2250.0
10040,1800.0
10041,9499.0
10042,13000.0
10043,3250.0
10044,2700.0
10045,3700.0
10046,1050.0
10047,8000.0
10048,3700.0
10049,6300.0
10050,950.0
10051,3950.0
10052,18000.0
10053,800.0
10054,14450.0
